tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,other_special_charges,write_off,impairment_of_capital_assets,restructuring_and_mergern_acquisition,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,research_and_development,selling_general_and_administration,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-6055806.93816,0.110106,888000000.0,-55000000.0,-55000000.0,589000000.0,109000000.0,1310000000.0,833000000.0,724000000.0,-55000000.0,61000000.0,6000000.0,637944193.06184,589000000.0,1970000000.0,691000000.0,171900000.0,167400000.0,3.43,3.52,589000000.0,589000000.0,589000000.0,-1000000.0,590000000.0,590000000.0,73000000.0,663000000.0,-19000000.0,34000000.0,-17000000.0,-2000000.0,0.0,8000000.0,11000000.0,34000000.0,-38000000.0,-55000000.0,61000000.0,6000000.0,737000000.0,614000000.0,,63000000.0,63000000.0,63000000.0,63000000.0,202000000.0,349000000.0,349000000.0,381000000.0,-32000000.0,1351000000.0,1356000000.0,2707000000.0,2707000000.0,2022-12-31
-6820000.0,0.22,550000000.0,-31000000.0,-31000000.0,278000000.0,98000000.0,1082000000.0,519000000.0,421000000.0,-54000000.0,63000000.0,9000000.0,302180000.0,278000000.0,1733000000.0,399000000.0,172600000.0,167400000.0,1.61,1.66,278000000.0,278000000.0,278000000.0,-1000000.0,279000000.0,279000000.0,79000000.0,358000000.0,-26000000.0,2000000.0,-20000000.0,,6000000.0,5000000.0,9000000.0,3000000.0,-11000000.0,-54000000.0,63000000.0,9000000.0,438000000.0,608000000.0,,55000000.0,55000000.0,55000000.0,55000000.0,210000000.0,343000000.0,343000000.0,368000000.0,-25000000.0,1046000000.0,1125000000.0,2171000000.0,2171000000.0,2023-03-31
-5060000.0,0.23,659000000.0,-22000000.0,-22000000.0,371000000.0,87000000.0,1170000000.0,637000000.0,550000000.0,-57000000.0,63000000.0,6000000.0,387940000.0,371000000.0,1853000000.0,518000000.0,172600000.0,167500000.0,2.15,2.21,371000000.0,371000000.0,371000000.0,-2000000.0,373000000.0,373000000.0,114000000.0,487000000.0,-6000000.0,-1000000.0,-10000000.0,,3000000.0,2000000.0,5000000.0,17000000.0,-12000000.0,-57000000.0,63000000.0,6000000.0,550000000.0,639000000.0,15000000.0,43000000.0,43000000.0,43000000.0,43000000.0,215000000.0,366000000.0,366000000.0,390000000.0,-24000000.0,1189000000.0,1214000000.0,2403000000.0,2403000000.0,2023-06-30
-5040000.0,0.21,755000000.0,-24000000.0,-24000000.0,464000000.0,86000000.0,1229000000.0,731000000.0,645000000.0,-53000000.0,53000000.0,,482960000.0,464000000.0,1886000000.0,639000000.0,171700000.0,166700000.0,2.7,2.78,464000000.0,464000000.0,464000000.0,-1000000.0,465000000.0,465000000.0,127000000.0,592000000.0,-25000000.0,-1000000.0,-13000000.0,1000000.0,7000000.0,0.0,5000000.0,0.0,-11000000.0,-53000000.0,53000000.0,,670000000.0,610000000.0,,39000000.0,39000000.0,39000000.0,39000000.0,215000000.0,356000000.0,356000000.0,380000000.0,-24000000.0,1280000000.0,1276000000.0,2556000000.0,2556000000.0,2023-09-30
-7211864.40678,0.15678,924000000.0,-46000000.0,-46000000.0,596000000.0,85000000.0,1349000000.0,878000000.0,793000000.0,-52000000.0,85000000.0,,634788135.59322,596000000.0,2049000000.0,738000000.0,,,,,596000000.0,596000000.0,596000000.0,-1000000.0,597000000.0,597000000.0,111000000.0,708000000.0,-40000000.0,,-39000000.0,3000000.0,0.0,2000000.0,10000000.0,0.0,-7000000.0,-52000000.0,85000000.0,,800000000.0,655000000.0,0.0,40000000.0,40000000.0,40000000.0,40000000.0,218000000.0,397000000.0,397000000.0,423000000.0,-26000000.0,1455000000.0,1394000000.0,2849000000.0,2849000000.0,2023-12-31
