ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_debt,payables_and_accrued_expenses,payables,dueto_related_parties_current,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,investments_and_advances,long_term_equity_investment,investments_in_other_ventures_under_equity_method,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,current_assets,other_current_assets,receivables,accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date,cash_equivalents,cash_financial
233865459.0,233865459.0,1214000000.0,2947000000.0,-209000000.0,9857000000.0,1190000000.0,-209000000.0,6910000000.0,9796000000.0,6935000000.0,25000000.0,6910000000.0,4081000000.0,3248000000.0,362000000.0,0.0,0.0,2886000000.0,2886000000.0,833000000.0,29000000.0,347000000.0,347000000.0,61000000.0,61000000.0,396000000.0,396000000.0,0.0,396000000.0,11016000000.0,8993000000.0,1213000000.0,253000000.0,253000000.0,253000000.0,7119000000.0,3163000000.0,3956000000.0,408000000.0,-108000000.0,516000000.0,2023000000.0,167000000.0,123000000.0,123000000.0,1733000000.0,1733000000.0,2022-12-31,,
234331783.0,234331783.0,1374000000.0,2958000000.0,-226000000.0,9771000000.0,955000000.0,-226000000.0,6813000000.0,9748000000.0,6838000000.0,25000000.0,6813000000.0,4140000000.0,3142000000.0,207000000.0,0.0,0.0,2935000000.0,2935000000.0,998000000.0,35000000.0,655000000.0,655000000.0,23000000.0,23000000.0,285000000.0,285000000.0,-33000000.0,318000000.0,10978000000.0,9025000000.0,1217000000.0,265000000.0,265000000.0,265000000.0,7039000000.0,3083000000.0,3956000000.0,504000000.0,-112000000.0,616000000.0,1953000000.0,278000000.0,91000000.0,91000000.0,1584000000.0,1584000000.0,2023-03-31,,
234556676.0,234556676.0,1461000000.0,2950000000.0,-29000000.0,9881000000.0,916000000.0,-29000000.0,6931000000.0,9854000000.0,6955000000.0,24000000.0,6931000000.0,4178000000.0,3140000000.0,217000000.0,0.0,0.0,2923000000.0,2923000000.0,1038000000.0,27000000.0,724000000.0,724000000.0,27000000.0,27000000.0,260000000.0,260000000.0,-55000000.0,315000000.0,11133000000.0,9179000000.0,1254000000.0,336000000.0,336000000.0,336000000.0,6960000000.0,3004000000.0,3956000000.0,629000000.0,-118000000.0,747000000.0,1954000000.0,355000000.0,110000000.0,110000000.0,1489000000.0,1489000000.0,2023-06-30,,
234557149.0,234557149.0,1427000000.0,2897000000.0,-517000000.0,9260000000.0,790000000.0,-517000000.0,6363000000.0,9228000000.0,6363000000.0,0.0,6363000000.0,4191000000.0,3014000000.0,149000000.0,0.0,0.0,2865000000.0,2865000000.0,1177000000.0,32000000.0,776000000.0,776000000.0,32000000.0,32000000.0,337000000.0,337000000.0,-53000000.0,390000000.0,10554000000.0,8587000000.0,913000000.0,43000000.0,43000000.0,43000000.0,6880000000.0,2924000000.0,3956000000.0,751000000.0,-123000000.0,874000000.0,1967000000.0,348000000.0,149000000.0,149000000.0,1470000000.0,1470000000.0,2023-09-30,,
234615662.0,234615662.0,1498000000.0,2906000000.0,-395000000.0,9325000000.0,924000000.0,-395000000.0,6419000000.0,9289000000.0,6419000000.0,0.0,6419000000.0,3848000000.0,3061000000.0,188000000.0,3000000.0,3000000.0,2870000000.0,2870000000.0,787000000.0,32000000.0,247000000.0,247000000.0,36000000.0,36000000.0,472000000.0,472000000.0,-63000000.0,535000000.0,10267000000.0,8556000000.0,863000000.0,41000000.0,41000000.0,,6814000000.0,2858000000.0,3956000000.0,838000000.0,-135000000.0,973000000.0,1711000000.0,180000000.0,123000000.0,123000000.0,1408000000.0,1408000000.0,2023-12-31,406000000.0,1002000000.0
