tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-126000.0,0.21,10628000.0,-600000.0,-600000.0,-249000.0,24553000.0,118437000.0,10028000.0,-14525000.0,5084000.0,3033000.0,8710000.0,225000.0,-249000.0,561450000.0,-24500000.0,186028000.0,186028000.0,-0.001339,-0.001339,-3055000.0,-2806000.0,-249000.0,-249000.0,-249000.0,-249000.0,-17309000.0,-17558000.0,1258000.0,1858000.0,-600000.0,0.0,600000.0,5084000.0,3033000.0,8710000.0,-23912000.0,434160000.0,15700000.0,15700000.0,15700000.0,15700000.0,172751000.0,245709000.0,124600000.0,121109000.0,121109000.0,410248000.0,127290000.0,537538000.0,537538000.0,2022-12-31
0.0,0.10404,86881000.0,0.0,0.0,50852000.0,26421000.0,115828000.0,86881000.0,60460000.0,8240000.0,3703000.0,11943000.0,50852000.0,50852000.0,537098000.0,59347000.0,194363000.0,186667000.0,0.27,0.27,51789000.0,937000.0,50852000.0,50852000.0,50852000.0,50852000.0,5905000.0,56757000.0,-10830000.0,-10830000.0,0.0,0.0,0.0,8240000.0,3703000.0,11943000.0,59317000.0,410549000.0,15700000.0,15700000.0,15700000.0,15700000.0,171846000.0,223003000.0,117700000.0,105303000.0,105303000.0,469866000.0,126549000.0,596415000.0,596415000.0,2023-03-31
0.0,0.208586,99984000.0,0.0,0.0,56040000.0,25419000.0,118287000.0,99984000.0,74565000.0,8857000.0,3755000.0,12612000.0,56040000.0,56040000.0,536405000.0,58870000.0,194998000.0,187948000.0,0.29,0.3,56977000.0,937000.0,56040000.0,56040000.0,56040000.0,56040000.0,14770000.0,70810000.0,3083000.0,3083000.0,0.0,0.0,0.0,8857000.0,3755000.0,12612000.0,58870000.0,408323000.0,15624000.0,15624000.0,15624000.0,15624000.0,177363000.0,215336000.0,115600000.0,99736000.0,99736000.0,467193000.0,128082000.0,595275000.0,595275000.0,2023-06-30
0.0,0.030982,71133000.0,0.0,0.0,40378000.0,25685000.0,114760000.0,71133000.0,45448000.0,11961000.0,3779000.0,15740000.0,40378000.0,40378000.0,555759000.0,25661000.0,191173000.0,188219000.0,0.21,0.21,40378000.0,0.0,40378000.0,40378000.0,40378000.0,40378000.0,1291000.0,41669000.0,4047000.0,4047000.0,0.0,0.0,0.0,11961000.0,3779000.0,15740000.0,25570000.0,431014000.0,15700000.0,15700000.0,15700000.0,15700000.0,191314000.0,224000000.0,121900000.0,102100000.0,102100000.0,456584000.0,124745000.0,581329000.0,581329000.0,2023-09-30
0.0,0.21,51692000.0,0.0,0.0,20375000.0,26861000.0,123817000.0,51692000.0,24831000.0,11946000.0,5504000.0,18044000.0,20375000.0,20375000.0,631928000.0,14219000.0,191838000.0,188479000.0,0.11,0.11,17565000.0,,20375000.0,20375000.0,20375000.0,20375000.0,-1048000.0,19327000.0,-6838000.0,-6838000.0,0.0,0.0,0.0,11946000.0,5504000.0,18044000.0,14279000.0,496450000.0,15200000.0,15200000.0,15200000.0,15200000.0,206250000.0,275000000.0,133200000.0,141800000.0,141800000.0,510729000.0,135478000.0,646207000.0,646207000.0,2023-12-31
1599761.243806,0.159976,126444000.0,10000000.0,10000000.0,88662000.0,27350000.0,112128000.0,136444000.0,109094000.0,15818000.0,3547000.0,19365000.0,80261761.243806,88662000.0,570371000.0,88462000.0,199262000.0,188866000.0,0.46,0.47,91431000.0,2769000.0,88662000.0,88662000.0,88662000.0,88662000.0,16885000.0,105547000.0,11267000.0,1267000.0,10000000.0,10000000.0,,15818000.0,3547000.0,19365000.0,78462000.0,445191000.0,14298000.0,14298000.0,14298000.0,14298000.0,204987000.0,225906000.0,,,,523653000.0,125180000.0,648833000.0,648833000.0,2024-03-31
