tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,earnings_from_equity_interest_net_of_tax,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,selling_general_and_administration,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.243,648800000.0,381900000.0,92500000.0,2390600000.0,648800000.0,556300000.0,-100300000.0,100900000.0,600000.0,381900000.0,381900000.0,2757200000.0,480900000.0,479400000.0,0.79,0.8,381900000.0,381900000.0,381900000.0,-300000.0,382200000.0,382200000.0,49300000.0,122500000.0,455400000.0,6100000.0,6100000.0,-100300000.0,100900000.0,600000.0,555700000.0,366600000.0,-6100000.0,372700000.0,372700000.0,372700000.0,,922300000.0,2390600000.0,3312900000.0,3312900000.0,2022-11-30
0.0,0.226,588600000.0,341700000.0,91500000.0,2247700000.0,588600000.0,497100000.0,-104200000.0,105300000.0,1100000.0,341700000.0,341700000.0,2590500000.0,479400000.0,477500000.0,0.71,0.72,341700000.0,341700000.0,341700000.0,-500000.0,342200000.0,342200000.0,50500000.0,100100000.0,391800000.0,6000000.0,6000000.0,-104200000.0,105300000.0,1100000.0,496000000.0,342800000.0,-6000000.0,348800000.0,348800000.0,348800000.0,,838800000.0,2247700000.0,3086500000.0,3086500000.0,2023-02-28
0.0,0.21,157200000.0,37500000.0,92900000.0,2189900000.0,157200000.0,64300000.0,-108000000.0,109300000.0,1300000.0,37500000.0,37500000.0,2910300000.0,,,,,37500000.0,37500000.0,37500000.0,1200000.0,36300000.0,36300000.0,63000000.0,-18300000.0,-45000000.0,6000000.0,6000000.0,-108000000.0,109300000.0,1300000.0,63000000.0,720400000.0,-6000000.0,726400000.0,726400000.0,726400000.0,,783400000.0,2189900000.0,2973300000.0,2973300000.0,2023-05-31
0.0,0.235,586400000.0,319700000.0,96600000.0,2080900000.0,586400000.0,489800000.0,-106000000.0,107100000.0,1100000.0,319700000.0,319700000.0,2415300000.0,479800000.0,478200000.0,0.67,0.67,319700000.0,319700000.0,319700000.0,-200000.0,319900000.0,319900000.0,35500000.0,98300000.0,382700000.0,,,-106000000.0,107100000.0,1100000.0,488700000.0,334400000.0,,334400000.0,334400000.0,334100000.0,300000.0,823100000.0,2080900000.0,2904000000.0,2904000000.0,2023-08-31
0.0,0.265,548200000.0,286200000.0,99300000.0,2361500000.0,548200000.0,448900000.0,-113300000.0,114100000.0,800000.0,286200000.0,286200000.0,2760000000.0,479800000.0,478700000.0,0.6,0.6,286200000.0,286200000.0,286200000.0,0.0,286200000.0,286200000.0,54300000.0,102900000.0,334800000.0,,,-113300000.0,114100000.0,800000.0,448100000.0,398500000.0,,398500000.0,398500000.0,398100000.0,400000.0,846600000.0,2361500000.0,3208100000.0,3208100000.0,2023-11-30
0.0,0.237,567200000.0,308600000.0,95800000.0,2174100000.0,567200000.0,471400000.0,-106500000.0,107900000.0,1400000.0,308600000.0,308600000.0,2562900000.0,480000000.0,478800000.0,0.64,0.64,308600000.0,308600000.0,308600000.0,-200000.0,308800000.0,308800000.0,41200000.0,95900000.0,363500000.0,,,-106500000.0,107900000.0,1400000.0,470000000.0,388800000.0,,388800000.0,388800000.0,387400000.0,1400000.0,858800000.0,2174100000.0,3032900000.0,3032900000.0,2024-02-29
