tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,rent_expense_supplemental,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,other_operating_expenses,other_taxes,selling_general_and_administration,general_and_administrative_expense,other_gand_a,insurance_and_claims,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.256523,454623000.0,201303000.0,171606000.0,3027927000.0,454623000.0,283017000.0,-11189000.0,12258000.0,201303000.0,201303000.0,3367674000.0,1742168000.0,281948000.0,104737000.0,103743382.0,1.92,1.940394,201303000.0,201303000.0,201303000.0,201303000.0,201303000.0,69456000.0,270759000.0,-11189000.0,12258000.0,281948000.0,339747000.0,130885000.0,19076000.0,189786000.0,189786000.0,65240000.0,124546000.0,621695000.0,3027927000.0,3649622000.0,3649622000.0,2022-12-31
0.0,0.247,453301000.0,197768000.0,175812000.0,2664443000.0,453301000.0,277489000.0,-14789000.0,14789000.0,197768000.0,197768000.0,2952099000.0,1467798000.0,277489000.0,104729000.0,103724000.0,1.89,1.91,197768000.0,197768000.0,197768000.0,197768000.0,197768000.0,64932000.0,262700000.0,-14789000.0,14789000.0,277489000.0,287656000.0,128360000.0,18108000.0,141188000.0,141188000.0,70860000.0,70328000.0,565145000.0,2664443000.0,3229588000.0,3229588000.0,2023-03-31
0.0,0.26,450684000.0,189552000.0,179972000.0,2578280000.0,450684000.0,270712000.0,-14604000.0,14604000.0,189552000.0,189552000.0,2861911000.0,1404586000.0,270712000.0,104566000.0,103562000.0,1.81,1.83,189552000.0,189552000.0,189552000.0,189552000.0,189552000.0,66556000.0,256108000.0,-14604000.0,14604000.0,270712000.0,283631000.0,128949000.0,18951000.0,135731000.0,135731000.0,71838000.0,63893000.0,554343000.0,2578280000.0,3132623000.0,3132623000.0,2023-06-30
0.0,0.182,429430000.0,187431000.0,187714000.0,2630060000.0,429430000.0,241716000.0,-12586000.0,12586000.0,187431000.0,187431000.0,2922037000.0,1443197000.0,241716000.0,104394000.0,103302000.0,1.8,1.81,187431000.0,187431000.0,187431000.0,187431000.0,187431000.0,41699000.0,229130000.0,-12586000.0,12586000.0,241716000.0,291977000.0,130905000.0,18739000.0,142333000.0,142333000.0,79658000.0,62675000.0,533693000.0,2630060000.0,3163753000.0,3163753000.0,2023-09-30
0.0,0.178733,405358000.0,153535000.0,194456000.0,2746743000.0,405358000.0,210902000.0,-16329000.0,23953000.0,153535000.0,153535000.0,3100422000.0,1557010000.0,203278000.0,104122000.0,103220027.0,1.47,1.487454,153535000.0,153535000.0,153535000.0,153535000.0,153535000.0,33414000.0,186949000.0,-16329000.0,23953000.0,203278000.0,353679000.0,121141000.0,19199000.0,213339000.0,213339000.0,94557000.0,118782000.0,556957000.0,2746743000.0,3303700000.0,3303700000.0,2023-12-31
0.0,0.286633,377365000.0,127493000.0,182996000.0,2445394000.0,377365000.0,194369000.0,-15649000.0,15649000.0,127493000.0,127493000.0,2749632000.0,1280987000.0,194369000.0,104107000.0,103196573.0,1.22,1.235438,127493000.0,127493000.0,127493000.0,127493000.0,127493000.0,51227000.0,178720000.0,-15649000.0,15649000.0,194369000.0,304238000.0,122991000.0,17535000.0,163712000.0,163712000.0,88026000.0,75686000.0,498607000.0,2445394000.0,2944001000.0,2944001000.0,2024-03-31
