tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,otherunder_preferred_stock_dividend,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.21,90127000.0,-79512000.0,101577000.0,369368000.0,90127000.0,-11450000.0,-54722000.0,54722000.0,,-79512000.0,-79512000.0,724733000.0,-22426000.0,,,,,-79512000.0,,-79512000.0,0.0,-79512000.0,0.0,-79512000.0,-79512000.0,13340000.0,-66172000.0,10976000.0,10976000.0,-54722000.0,54722000.0,,-22426000.0,355365000.0,118190000.0,237175000.0,200536000.0,36639000.0,36639000.0,332939000.0,369368000.0,702307000.0,702307000.0,2022-12-31
0.0,0.21,199366000.0,-4518000.0,128208000.0,261960000.0,199366000.0,71158000.0,-74511000.0,74511000.0,,-4518000.0,-4518000.0,654358000.0,61047000.0,373160029.0,373160029.0,-0.01,-0.01,-4518000.0,,-4518000.0,,-4518000.0,0.0,-4518000.0,-4518000.0,1165000.0,-3353000.0,10111000.0,10111000.0,-74511000.0,74511000.0,,61047000.0,392398000.0,144851000.0,247547000.0,202976000.0,44571000.0,44571000.0,453445000.0,261960000.0,715405000.0,715405000.0,2023-03-31
0.0,0.161218,266681000.0,80357000.0,119892000.0,258575000.0,266681000.0,146789000.0,-35526000.0,50987000.0,15461000.0,80357000.0,80357000.0,618837000.0,131328000.0,366340275.0,356957059.0,0.22,0.22,80047000.0,8000.0,80039000.0,318000.0,80357000.0,0.0,80357000.0,80357000.0,15445000.0,95802000.0,,,-35526000.0,50987000.0,15461000.0,131328000.0,360262000.0,137424000.0,222838000.0,192427000.0,30411000.0,30411000.0,491590000.0,258575000.0,750165000.0,750165000.0,2023-06-30
0.0,0.005365,309605000.0,108639000.0,121797000.0,265049000.0,309605000.0,187808000.0,-77093000.0,78583000.0,1490000.0,108639000.0,108639000.0,677938000.0,186318000.0,356906222.0,341435759.0,0.3,0.32,107869000.0,34000.0,107835000.0,804000.0,108639000.0,0.0,108639000.0,108639000.0,586000.0,109225000.0,,,-77093000.0,78583000.0,1490000.0,186318000.0,412889000.0,159288000.0,253601000.0,212352000.0,41249000.0,41249000.0,599207000.0,265049000.0,864256000.0,864256000.0,2023-09-30
0.0,0.037245,369591000.0,172233000.0,119111000.0,273607000.0,369591000.0,250480000.0,-98646000.0,71584000.0,,172233000.0,172233000.0,683747000.0,269514000.0,347492545.0,337136956.0,0.49,0.51,171448000.0,21000.0,171427000.0,806000.0,172233000.0,0.0,172233000.0,172233000.0,6663000.0,178896000.0,,,-98646000.0,71584000.0,,269514000.0,410140000.0,150823000.0,259317000.0,222963000.0,36354000.0,36354000.0,679654000.0,273607000.0,953261000.0,953261000.0,2023-12-31
