treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,pensionand_other_post_retirement_benefit_plans_current,payables_and_accrued_expenses,current_accrued_expenses,payables,total_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,other_properties,machinery_furniture_equipment,properties,current_assets,other_current_assets,restricted_cash,receivables,accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date
,373873683.0,373873683.0,2131238000.0,3302513000.0,-1598738000.0,5114399000.0,1360125000.0,-1598738000.0,90791000.0,1902677000.0,5081089000.0,1902677000.0,0.0,1902677000.0,-83382000.0,-83382000.0,-1169700000.0,3155748000.0,11000.0,11000.0,0.0,3945169000.0,3366211000.0,133646000.0,3232565000.0,54153000.0,3178412000.0,578958000.0,15254000.0,95063000.0,64018000.0,69948000.0,36638000.0,33310000.0,33310000.0,24302000.0,374391000.0,19238000.0,355153000.0,81957000.0,273196000.0,5847846000.0,3908763000.0,268426000.0,3501415000.0,1677660000.0,1823755000.0,138922000.0,-48858000.0,187780000.0,17380000.0,60379000.0,110021000.0,0.0,1939083000.0,155785000.0,0.0,702814000.0,702814000.0,1080484000.0,1080484000.0,2022-12-31
,371256232.0,371256232.0,1959980000.0,3273940000.0,-1509666000.0,5104453000.0,1428787000.0,-1509666000.0,68067000.0,1898580000.0,5071143000.0,1898580000.0,,1898580000.0,-73376000.0,-73376000.0,-1174218000.0,3146163000.0,11000.0,11000.0,0.0,4017260000.0,3397690000.0,171179000.0,3226511000.0,53948000.0,3172563000.0,619570000.0,14993000.0,108616000.0,66898000.0,47429000.0,14119000.0,33310000.0,33310000.0,,448532000.0,165584000.0,282948000.0,,282948000.0,5915840000.0,3867483000.0,280683000.0,3408246000.0,1574547000.0,1833699000.0,178554000.0,,178554000.0,,178554000.0,,,2048357000.0,164859000.0,,637605000.0,637605000.0,1245893000.0,1245893000.0,2023-03-31
,348496613.0,348496613.0,2323842000.0,3265465000.0,-1807306000.0,4717469000.0,1104328000.0,-1807306000.0,65396000.0,1517400000.0,4684159000.0,1517400000.0,,1517400000.0,-76530000.0,-76530000.0,-1093861000.0,2687780000.0,11000.0,11000.0,0.0,3964720000.0,3372780000.0,154729000.0,3218051000.0,51292000.0,3166759000.0,591940000.0,13819000.0,110703000.0,74307000.0,47414000.0,14104000.0,33310000.0,33310000.0,,420004000.0,159157000.0,260847000.0,,260847000.0,5482120000.0,3785852000.0,288365000.0,3324706000.0,1493996000.0,1830710000.0,172781000.0,,172781000.0,,172781000.0,,,1696268000.0,150256000.0,,669785000.0,669785000.0,876227000.0,876227000.0,2023-06-30
0.0,335783928.0,335783928.0,2794811000.0,3187989000.0,-2104368000.0,4223092000.0,495318000.0,-2104368000.0,60687000.0,1095790000.0,4008092000.0,1095790000.0,,1095790000.0,-93657000.0,-93657000.0,-985222000.0,2174658000.0,11000.0,11000.0,0.0,3909438000.0,3103964000.0,144775000.0,2959189000.0,46887000.0,2912302000.0,805474000.0,13389000.0,100503000.0,77899000.0,228800000.0,13800000.0,215000000.0,215000000.0,,462782000.0,181679000.0,281103000.0,,281103000.0,5005228000.0,3704436000.0,349124000.0,3200158000.0,1386591000.0,1813567000.0,155154000.0,,155154000.0,,155154000.0,,,1300792000.0,119161000.0,,849140000.0,849140000.0,332491000.0,332491000.0,2023-09-30
0.0,339886712.0,339886712.0,2618754000.0,3177416000.0,-1879156000.0,4377235000.0,672041000.0,-1879156000.0,56510000.0,1256329000.0,4162235000.0,1256329000.0,0.0,1256329000.0,-65274000.0,-65274000.0,-812989000.0,2134581000.0,11000.0,11000.0,0.0,4102858000.0,3158736000.0,209925000.0,2948811000.0,42905000.0,2905906000.0,944122000.0,13054000.0,78559000.0,78559000.0,228605000.0,13605000.0,215000000.0,215000000.0,48263000.0,575641000.0,62085000.0,513556000.0,141854000.0,371702000.0,5359187000.0,3743024000.0,385998000.0,3135485000.0,1292635000.0,1842850000.0,221541000.0,-72006000.0,293547000.0,17553000.0,48210000.0,227784000.0,0.0,1616163000.0,160201000.0,,953810000.0,953810000.0,502152000.0,502152000.0,2023-12-31
