tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date,general_and_administrative_expense,other_gand_a,salaries_and_wages
0.0,0.110303,3030000000.0,1422000000.0,1048000000.0,14526000000.0,3030000000.0,1982000000.0,-316000000.0,332000000.0,16000000.0,1422000000.0,1422000000.0,16592000000.0,1501000000.0,1476300000.0,1465500000.0,0.96,0.97,1422000000.0,1422000000.0,1422000000.0,-46000000.0,1468000000.0,0.0,1468000000.0,182000000.0,1650000000.0,465000000.0,465000000.0,-316000000.0,332000000.0,16000000.0,1501000000.0,2066000000.0,-29000000.0,716000000.0,1379000000.0,3567000000.0,14526000000.0,18093000000.0,18093000000.0,2022-12-31,,,
0.0,0.168,3154000000.0,1426000000.0,1034000000.0,13645000000.0,3154000000.0,2120000000.0,-329000000.0,339000000.0,10000000.0,1426000000.0,1426000000.0,15650000000.0,1652000000.0,1474200000.0,1462200000.0,0.97,0.98,1426000000.0,1426000000.0,1426000000.0,-55000000.0,1481000000.0,0.0,1481000000.0,300000000.0,1781000000.0,546000000.0,546000000.0,-329000000.0,339000000.0,10000000.0,1564000000.0,2005000000.0,,607000000.0,1398000000.0,3569000000.0,13645000000.0,17214000000.0,17214000000.0,2023-03-31,,,
0.0,0.135,2988000000.0,1327000000.0,1044000000.0,14518000000.0,2988000000.0,1944000000.0,-355000000.0,372000000.0,17000000.0,1327000000.0,1327000000.0,16857000000.0,1458000000.0,1468700000.0,1457500000.0,0.9,0.91,1327000000.0,1327000000.0,1327000000.0,-32000000.0,1359000000.0,0.0,1359000000.0,213000000.0,1572000000.0,469000000.0,469000000.0,-355000000.0,372000000.0,17000000.0,1458000000.0,2339000000.0,-25000000.0,729000000.0,1635000000.0,3797000000.0,14518000000.0,18315000000.0,18315000000.0,2023-06-30,,,
0.0,0.294,143000000.0,-984000000.0,1074000000.0,12750000000.0,143000000.0,-931000000.0,-372000000.0,391000000.0,19000000.0,-984000000.0,-984000000.0,14860000000.0,-1396000000.0,1448100000.0,1448100000.0,-0.68,-0.68,-984000000.0,-984000000.0,-984000000.0,-51000000.0,-933000000.0,0.0,-933000000.0,-389000000.0,-1322000000.0,446000000.0,446000000.0,-372000000.0,391000000.0,19000000.0,-1396000000.0,2110000000.0,-3000000.0,712000000.0,1401000000.0,714000000.0,12750000000.0,13464000000.0,13464000000.0,2023-09-30,,,
0.0,0.151009,3345000000.0,1426000000.0,1059000000.0,15918000000.0,3345000000.0,2286000000.0,-497000000.0,551000000.0,54000000.0,1426000000.0,1426000000.0,16370000000.0,1777000000.0,1361700000.0,1354900000.0,1.05,1.05,1426000000.0,1426000000.0,1426000000.0,-47000000.0,1473000000.0,0.0,1473000000.0,262000000.0,1735000000.0,-1325000000.0,-1325000000.0,-497000000.0,551000000.0,54000000.0,3557000000.0,452000000.0,30000000.0,757000000.0,-335000000.0,4009000000.0,15918000000.0,19927000000.0,19927000000.0,2023-12-31,,,
0.0,0.058,3330000000.0,1709000000.0,1059000000.0,15744000000.0,3330000000.0,2271000000.0,-409000000.0,420000000.0,11000000.0,1709000000.0,1709000000.0,17049000000.0,1870000000.0,1337300000.0,1329400000.0,1.28,1.29,1709000000.0,1709000000.0,1709000000.0,-34000000.0,1743000000.0,,1743000000.0,108000000.0,1851000000.0,4000000.0,4000000.0,-409000000.0,420000000.0,11000000.0,2256000000.0,1305000000.0,-372000000.0,669000000.0,1008000000.0,3561000000.0,15744000000.0,19305000000.0,19305000000.0,2024-03-31,1008000000.0,1394000000.0,-386000000.0
