tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,rent_expense_supplemental,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,provision_for_doubtful_accounts,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date,other_operating_expenses
-1051640259919.812,0.321996,19678000000000.0,-3266000000000.0,-3266000000000.0,4155000000000.0,8111000000000.0,12592000000000.0,16412000000000.0,8301000000000.0,-817000000000.0,1068000000000.0,251000000000.0,6369359740080.188,4155000000000.0,26975000000000.0,1502000000000.0,8143000000000.0,,,,,4155000000000.0,4155000000000.0,4155000000000.0,-749000000000.0,4904000000000.0,4904000000000.0,2329000000000.0,7233000000000.0,-3407000000000.0,,-93000000000.0,-3266000000000.0,-817000000000.0,1068000000000.0,251000000000.0,11457000000000.0,14383000000000.0,-358000000000.0,8111000000000.0,8111000000000.0,6557000000000.0,1150000000000.0,5407000000000.0,1284000000000.0,4123000000000.0,25840000000000.0,12592000000000.0,38432000000000.0,38432000000000.0,2022-12-31,
65502217608.7572,0.202793,19230000000000.0,323000000000.0,323000000000.0,6424000000000.0,7881000000000.0,10752000000000.0,19553000000000.0,11672000000000.0,-836000000000.0,1075000000000.0,239000000000.0,6166502217608.757,6424000000000.0,24977000000000.0,669000000000.0,11431000000000.0,990622166.0,990622166.0,6485.0,6485.0,6424000000000.0,6424000000000.0,6424000000000.0,-2024000000000.0,8448000000000.0,8448000000000.0,2149000000000.0,10597000000000.0,320000000000.0,-5000000000.0,2000000000.0,323000000000.0,-836000000000.0,1075000000000.0,239000000000.0,11113000000000.0,14225000000000.0,721000000000.0,7881000000000.0,7881000000000.0,5623000000000.0,763000000000.0,4860000000000.0,1121000000000.0,3739000000000.0,25338000000000.0,10752000000000.0,36090000000000.0,36090000000000.0,2023-03-31,
-5010368986.454928,0.217842,19965000000000.0,-23000000000.0,-23000000000.0,6332000000000.0,8067000000000.0,11511000000000.0,19942000000000.0,11875000000000.0,-883000000000.0,1170000000000.0,287000000000.0,6349989631013.545,6332000000000.0,26065000000000.0,981000000000.0,11588000000000.0,,,,,6332000000000.0,6332000000000.0,6332000000000.0,-2041000000000.0,8373000000000.0,8373000000000.0,2332000000000.0,10705000000000.0,265000000000.0,288000000000.0,0.0,-23000000000.0,-883000000000.0,1170000000000.0,287000000000.0,11323000000000.0,14554000000000.0,138000000000.0,8067000000000.0,8067000000000.0,6349000000000.0,893000000000.0,5456000000000.0,1351000000000.0,4105000000000.0,25877000000000.0,11511000000000.0,37388000000000.0,37388000000000.0,2023-06-30,
-114888524590.16394,0.219672,20853000000000.0,-523000000000.0,-523000000000.0,6743000000000.0,8133000000000.0,11126000000000.0,20330000000000.0,12197000000000.0,-985000000000.0,1217000000000.0,232000000000.0,7151111475409.836,6743000000000.0,25214000000000.0,584000000000.0,11963000000000.0,,,,,6743000000000.0,6743000000000.0,6743000000000.0,-1825000000000.0,8568000000000.0,8568000000000.0,2412000000000.0,10980000000000.0,-581000000000.0,-60000000000.0,2000000000.0,-523000000000.0,-985000000000.0,1217000000000.0,232000000000.0,12546000000000.0,14088000000000.0,-173000000000.0,8133000000000.0,8133000000000.0,6128000000000.0,932000000000.0,5196000000000.0,1362000000000.0,3834000000000.0,26634000000000.0,11126000000000.0,37760000000000.0,37760000000000.0,2023-09-30,
-123939577744.08025,0.220926,18852000000000.0,-561000000000.0,-561000000000.0,4928000000000.0,8488000000000.0,12692000000000.0,18291000000000.0,9803000000000.0,-927000000000.0,1230000000000.0,303000000000.0,5365060422255.92,4928000000000.0,27691000000000.0,1536000000000.0,9503000000000.0,,,,,4928000000000.0,4928000000000.0,4928000000000.0,-1751000000000.0,6679000000000.0,6679000000000.0,1894000000000.0,8573000000000.0,-787000000000.0,,-3000000000.0,-561000000000.0,-927000000000.0,1230000000000.0,303000000000.0,10287000000000.0,14999000000000.0,-173000000000.0,8488000000000.0,8488000000000.0,6943000000000.0,942000000000.0,6001000000000.0,1223000000000.0,4778000000000.0,25286000000000.0,12692000000000.0,37978000000000.0,31795000000000.0,2023-12-31,
-74662131519.27438,0.229025,19753000000000.0,-326000000000.0,-326000000000.0,6053000000000.0,8085000000000.0,11562000000000.0,19427000000000.0,11342000000000.0,-864000000000.0,1199000000000.0,335000000000.0,6304337868480.726,6053000000000.0,26095000000000.0,776000000000.0,11008000000000.0,990622166.0,990622166.0,6110.0,6110.0,6053000000000.0,6053000000000.0,6053000000000.0,-1767000000000.0,7820000000000.0,7820000000000.0,2323000000000.0,10143000000000.0,-327000000000.0,,-1000000000.0,-326000000000.0,-864000000000.0,1199000000000.0,335000000000.0,11334000000000.0,14533000000000.0,446000000000.0,8085000000000.0,8085000000000.0,6000000000000.0,794000000000.0,5206000000000.0,977000000000.0,4229000000000.0,25867000000000.0,11562000000000.0,37429000000000.0,37429000000000.0,2024-03-31,2000000000.0
