tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.129934,219100000.0,,,158700000.0,28300000.0,450000000.0,219100000.0,190800000.0,-8400000.0,8400000.0,158700000.0,158700000.0,616500000.0,125100000.0,168400000.0,166200000.0,0.94,0.95,158700000.0,158700000.0,158700000.0,158700000.0,158700000.0,23700000.0,182400000.0,65700000.0,65700000.0,,-8400000.0,8400000.0,125100000.0,166500000.0,15900000.0,150600000.0,291600000.0,450000000.0,741600000.0,741600000.0,2022-12-31
0.0,0.185,151600000.0,,,93800000.0,28700000.0,437400000.0,151600000.0,122900000.0,-7800000.0,7800000.0,93800000.0,93800000.0,616500000.0,124100000.0,168000000.0,165300000.0,0.56,0.57,93800000.0,93800000.0,93800000.0,93800000.0,93800000.0,21300000.0,115100000.0,-1200000.0,-1200000.0,,-7800000.0,7800000.0,124100000.0,179100000.0,16700000.0,162400000.0,303200000.0,437400000.0,740600000.0,740600000.0,2023-03-31
1611600.0,0.158,178800000.0,10200000.0,10200000.0,112900000.0,33200000.0,471100000.0,189000000.0,155800000.0,-21700000.0,21700000.0,104311600.0,112900000.0,656300000.0,146700000.0,168000000.0,165700000.0,0.67,0.68,112900000.0,112900000.0,112900000.0,112900000.0,112900000.0,21200000.0,134100000.0,9100000.0,-1100000.0,10200000.0,-21700000.0,21700000.0,146700000.0,185200000.0,17500000.0,167700000.0,331900000.0,471100000.0,803000000.0,803000000.0,2023-06-30
0.0,0.184,193500000.0,,,105500000.0,38700000.0,505600000.0,193500000.0,154800000.0,-25500000.0,25500000.0,105500000.0,105500000.0,702600000.0,156200000.0,168600000.0,165800000.0,0.63,0.64,105500000.0,105500000.0,105500000.0,105500000.0,105500000.0,23800000.0,129300000.0,-1400000.0,-1400000.0,,-25500000.0,25500000.0,156200000.0,197000000.0,18300000.0,178700000.0,353200000.0,505600000.0,858800000.0,858800000.0,2023-09-30
19000.0,0.19,186100000.0,100000.0,100000.0,254900000.0,40800000.0,507400000.0,186200000.0,145400000.0,-24400000.0,24400000.0,254819000.0,254900000.0,700800000.0,160400000.0,,,,,254900000.0,254900000.0,254900000.0,254900000.0,254900000.0,-133900000.0,121000000.0,-15000000.0,-15100000.0,100000.0,-24400000.0,24400000.0,160400000.0,193400000.0,19000000.0,174400000.0,353800000.0,507400000.0,861200000.0,861200000.0,2023-12-31
