tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.21,4248153000.0,55284000.0,4038214000.0,5404160000.0,4248153000.0,209939000.0,-510568000.0,170603000.0,-339965000.0,55284000.0,55284000.0,7302149000.0,549904000.0,451649000.0,445200000.0,0.12,0.12,55284000.0,55284000.0,55284000.0,55284000.0,55284000.0,-15948000.0,39336000.0,-510568000.0,170603000.0,-339965000.0,549904000.0,1897989000.0,673926000.0,1224063000.0,831610000.0,392453000.0,392453000.0,2447893000.0,5404160000.0,7852053000.0,7852053000.0,2022-12-31
0.0,0.11,5264636000.0,1305120000.0,3550319000.0,4803625000.0,5264636000.0,1714317000.0,-245443000.0,245443000.0,,1305120000.0,1305120000.0,6447186000.0,1714317000.0,452417000.0,445244000.0,2.88,2.93,1305120000.0,1305120000.0,1305120000.0,1305120000.0,1305120000.0,163754000.0,1468874000.0,-245443000.0,245443000.0,,1714317000.0,1643561000.0,687275000.0,956286000.0,555362000.0,400924000.0,400924000.0,3357878000.0,4803625000.0,8161503000.0,8161503000.0,2023-03-31
0.0,0.11,5353550000.0,1487610000.0,3499406000.0,4673470000.0,5353550000.0,1854144000.0,-147851000.0,174812000.0,26961000.0,1487610000.0,1487610000.0,6360118000.0,1827183000.0,451572000.0,443881000.0,3.29,3.35,1487610000.0,1487610000.0,1487610000.0,1487610000.0,1487610000.0,191722000.0,1679332000.0,-147851000.0,174812000.0,26961000.0,1827183000.0,1686648000.0,657983000.0,1028665000.0,627168000.0,401497000.0,401497000.0,3513831000.0,4673470000.0,8187301000.0,8187301000.0,2023-06-30
0.0,0.12,5748625000.0,1677422000.0,3664013000.0,4930788000.0,5748625000.0,2084612000.0,-7345000.0,175563000.0,168218000.0,1677422000.0,1677422000.0,6625274000.0,1916394000.0,450011000.0,441537000.0,3.73,3.8,1677422000.0,1677422000.0,1677422000.0,1677422000.0,1677422000.0,231627000.0,1909049000.0,-7345000.0,175563000.0,168218000.0,1916394000.0,1694486000.0,657159000.0,1037327000.0,558736000.0,478591000.0,478591000.0,3610880000.0,4930788000.0,8541668000.0,8541668000.0,2023-09-30
0.0,0.183175,5212780000.0,937838000.0,3840646000.0,5307485000.0,5212780000.0,1372134000.0,-347959000.0,223984000.0,,937838000.0,937838000.0,7336716000.0,1496109000.0,444292000.0,435923000.0,2.11,2.15,937838000.0,937838000.0,937838000.0,937838000.0,937838000.0,210312000.0,1148150000.0,-347959000.0,223984000.0,,1496109000.0,2029231000.0,673341000.0,1355890000.0,916617000.0,439273000.0,439273000.0,3525340000.0,5307485000.0,8832825000.0,8832825000.0,2023-12-31
0.0,0.11,6545932000.0,2332209000.0,3758039000.0,4977073000.0,6545932000.0,2787893000.0,-17955000.0,173314000.0,155359000.0,2332209000.0,2332209000.0,6737906000.0,2632534000.0,441654000.0,432090000.0,5.28,5.4,2332209000.0,2332209000.0,2332209000.0,2332209000.0,2332209000.0,282370000.0,2614579000.0,-17955000.0,173314000.0,155359000.0,2632534000.0,1760833000.0,702473000.0,1058360000.0,654340000.0,404020000.0,404020000.0,4393367000.0,4977073000.0,9370440000.0,9370440000.0,2024-03-31
