tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,earnings_from_equity_interest_net_of_tax,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,gain_on_sale_of_business,other_special_charges,write_off,restructuring_and_mergern_acquisition,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-492553.191489,0.273641,267000000.0,-1800000.0,-1800000.0,122900000.0,73500000.0,1525700000.0,265200000.0,191700000.0,-22500000.0,22500000.0,124207446.808511,122900000.0,1838000000.0,81600000.0,80810016.0,1.51,1.520851,122900000.0,122900000.0,122900000.0,122900000.0,122900000.0,0.0,46300000.0,169200000.0,3800000.0,5600000.0,-2900000.0,900000.0,0.0,4600000.0,0.0,-800000.0,,1100000.0,-22500000.0,22500000.0,187900000.0,312300000.0,312300000.0,500200000.0,1525700000.0,2025900000.0,2025900000.0,2022-12-31
-4984000.0,0.28,284800000.0,-17800000.0,-17800000.0,121200000.0,72300000.0,1522700000.0,267000000.0,194700000.0,-26400000.0,26400000.0,134016000.0,121200000.0,1857100000.0,81500000.0,80900000.0,1.49,1.5,121200000.0,121200000.0,121200000.0,121200000.0,121200000.0,,47100000.0,168300000.0,-13200000.0,4600000.0,-17800000.0,,,,500000.0,17300000.0,0.0,,-26400000.0,26400000.0,207900000.0,334400000.0,334400000.0,542300000.0,1522700000.0,2065000000.0,2065000000.0,2023-03-31
-18261200.0,0.284,310400000.0,-64300000.0,-64300000.0,100400000.0,74000000.0,1537100000.0,246100000.0,172100000.0,-31900000.0,31900000.0,146438800.0,100400000.0,1856700000.0,81000000.0,80700000.0,1.24,1.24,100400000.0,100400000.0,100400000.0,100400000.0,100400000.0,,39800000.0,140200000.0,-61700000.0,2600000.0,-64300000.0,-500000.0,,53800000.0,1200000.0,8800000.0,0.0,,-31900000.0,31900000.0,233800000.0,319600000.0,319600000.0,553400000.0,1537100000.0,2090500000.0,2090500000.0,2023-06-30
-11621300.0,0.251,337000000.0,-46300000.0,-46300000.0,138300000.0,75100000.0,1512500000.0,290700000.0,215600000.0,-31000000.0,31000000.0,172978700.0,138300000.0,1845100000.0,81000000.0,80600000.0,1.71,1.72,138300000.0,138300000.0,138300000.0,138300000.0,138300000.0,,46300000.0,184600000.0,-37600000.0,8700000.0,-46300000.0,0.0,,2500000.0,5100000.0,38700000.0,,,-31000000.0,31000000.0,253200000.0,332600000.0,332600000.0,585800000.0,1512500000.0,2098300000.0,2098300000.0,2023-09-30
-14073660.714286,0.290179,356800000.0,-48500000.0,-48500000.0,143100000.0,77000000.0,1514500000.0,308300000.0,231300000.0,-29700000.0,29700000.0,177526339.285714,143100000.0,1841600000.0,81000000.0,80495585.0,1.77,1.777737,143100000.0,143100000.0,143100000.0,143100000.0,143100000.0,,58500000.0,201600000.0,-37600000.0,10900000.0,-17100000.0,0.0,,8000000.0,1800000.0,7300000.0,,,-29700000.0,29700000.0,268900000.0,327100000.0,191300000.0,596000000.0,1514500000.0,2110500000.0,2110500000.0,2023-12-31
