tax_effect_of_unusual_items,tax_rate_for_calcs,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,preferred_stock_dividends,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,salaries_and_wages,total_revenue,operating_revenue,date
0.0,0.221323,577000000.0,101000000.0,4106000000.0,602000000.0,4708000000.0,577000000.0,577000000.0,448900000.0,445800000.0,1.26,1.27,567000000.0,567000000.0,10000000.0,577000000.0,577000000.0,577000000.0,164000000.0,741000000.0,580000000.0,121000000.0,459000000.0,459000000.0,3093000000.0,3093000000.0,2022-12-31
0.0,0.239,601000000.0,111000000.0,4051000000.0,735000000.0,4786000000.0,601000000.0,601000000.0,437200000.0,434400000.0,1.35,1.36,590000000.0,590000000.0,11000000.0,601000000.0,601000000.0,601000000.0,189000000.0,790000000.0,582000000.0,131000000.0,451000000.0,451000000.0,3199000000.0,3199000000.0,2023-03-31
0.0,0.233,569000000.0,113000000.0,4120000000.0,901000000.0,5021000000.0,569000000.0,569000000.0,424200000.0,422700000.0,1.32,1.32,559000000.0,559000000.0,10000000.0,569000000.0,569000000.0,569000000.0,173000000.0,742000000.0,584000000.0,133000000.0,451000000.0,451000000.0,3294000000.0,3294000000.0,2023-06-30
0.0,0.246,628000000.0,116000000.0,4362000000.0,992000000.0,5354000000.0,628000000.0,628000000.0,418400000.0,416000000.0,1.48,1.49,618000000.0,618000000.0,10000000.0,628000000.0,628000000.0,628000000.0,205000000.0,833000000.0,569000000.0,125000000.0,444000000.0,444000000.0,3475000000.0,3475000000.0,2023-09-30
0.0,0.183673,440000000.0,118000000.0,4466000000.0,1083000000.0,5549000000.0,440000000.0,440000000.0,414600000.0,411900000.0,1.03,1.04,429000000.0,429000000.0,11000000.0,440000000.0,440000000.0,440000000.0,99000000.0,539000000.0,633000000.0,138000000.0,495000000.0,495000000.0,3659000000.0,3659000000.0,2023-12-31
0.0,0.243,1293000000.0,119000000.0,4405000000.0,1163000000.0,5568000000.0,1293000000.0,1293000000.0,408200000.0,404700000.0,3.14,3.17,1282000000.0,1282000000.0,11000000.0,1293000000.0,1293000000.0,1293000000.0,415000000.0,1708000000.0,621000000.0,125000000.0,496000000.0,496000000.0,4798000000.0,4798000000.0,2024-03-31
