tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,otherunder_preferred_stock_dividend,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_business,write_off,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,other_operating_expenses,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
34230000.0,0.21,1333000000.0,163000000.0,163000000.0,775000000.0,583000000.0,2888000000.0,1496000000.0,913000000.0,-312000000.0,312000000.0,646230000.0,775000000.0,4766000000.0,674000000.0,,,,,257000000.0,5000000.0,252000000.0,,775000000.0,-66000000.0,841000000.0,841000000.0,-240000000.0,601000000.0,235000000.0,113000000.0,-3000000.0,1000000.0,4000000.0,-41000000.0,166000000.0,-312000000.0,312000000.0,678000000.0,1878000000.0,511000000.0,583000000.0,583000000.0,784000000.0,2556000000.0,2888000000.0,5444000000.0,4856000000.0,2022-12-31
-7162629.757785,0.238754,616000000.0,-30000000.0,-30000000.0,183000000.0,161000000.0,1114000000.0,586000000.0,425000000.0,-136000000.0,136000000.0,205837370.242215,183000000.0,1739000000.0,373000000.0,346000000.0,327000000.0,0.38,0.56,131000000.0,-52000000.0,183000000.0,,183000000.0,-37000000.0,220000000.0,220000000.0,69000000.0,289000000.0,20000000.0,57000000.0,-32000000.0,,32000000.0,-7000000.0,2000000.0,-136000000.0,136000000.0,405000000.0,625000000.0,79000000.0,161000000.0,161000000.0,385000000.0,1030000000.0,1114000000.0,2144000000.0,2144000000.0,2023-03-31
-31832699.619772,0.174905,736000000.0,-182000000.0,-182000000.0,166000000.0,154000000.0,1156000000.0,554000000.0,400000000.0,-137000000.0,137000000.0,316167300.380228,166000000.0,1780000000.0,452000000.0,346000000.0,327000000.0,0.49,0.51,171000000.0,,171000000.0,-5000000.0,166000000.0,-51000000.0,217000000.0,217000000.0,46000000.0,263000000.0,-70000000.0,33000000.0,-18000000.0,,18000000.0,79000000.0,-164000000.0,-137000000.0,137000000.0,470000000.0,624000000.0,83000000.0,154000000.0,154000000.0,387000000.0,1094000000.0,1156000000.0,2250000000.0,2250000000.0,2023-06-30
2365591.397849,0.215054,734000000.0,11000000.0,11000000.0,307000000.0,145000000.0,1144000000.0,745000000.0,600000000.0,-135000000.0,135000000.0,298365591.397849,307000000.0,1737000000.0,528000000.0,352000000.0,327000000.0,0.89,0.94,313000000.0,6000000.0,307000000.0,,307000000.0,-58000000.0,365000000.0,365000000.0,100000000.0,465000000.0,66000000.0,10000000.0,-6000000.0,,6000000.0,45000000.0,17000000.0,-135000000.0,135000000.0,534000000.0,593000000.0,72000000.0,145000000.0,145000000.0,376000000.0,1127000000.0,1144000000.0,2271000000.0,2271000000.0,2023-09-30
-10254980.079681,0.087649,662000000.0,-117000000.0,-117000000.0,173000000.0,164000000.0,1154000000.0,545000000.0,381000000.0,-130000000.0,130000000.0,279745019.920319,173000000.0,1792000000.0,455000000.0,,,,,173000000.0,0.0,173000000.0,,173000000.0,-56000000.0,229000000.0,229000000.0,22000000.0,251000000.0,-115000000.0,11000000.0,-47000000.0,,10000000.0,-9000000.0,-70000000.0,-130000000.0,130000000.0,496000000.0,638000000.0,88000000.0,164000000.0,164000000.0,386000000.0,1134000000.0,1154000000.0,2288000000.0,2288000000.0,2023-12-31
