treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,preferred_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_debt,line_of_credit,commercial_paper,payables_and_accrued_expenses,current_accrued_expenses,interest_payable,payables,dividends_payable,total_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,investments_and_advances,long_term_equity_investment,investmentsin_joint_venturesat_cost,investment_properties,net_ppe,gross_ppe,other_properties,current_assets,assets_held_for_sale_current,restricted_cash,inventory,finished_goods,receivables,notes_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date
,328993088.0,328993088.0,5486110000.0,5676541000.0,4053470000.0,9540773000.0,-666898000.0,4098085000.0,189238000.0,4053470000.0,44615000.0,9257373000.0,4938145000.0,840060000.0,4098085000.0,8344000.0,8344000.0,-3451587000.0,7493423000.0,47905000.0,3290000.0,44615000.0,6100325000.0,5348526000.0,51999000.0,5348526000.0,189238000.0,5159288000.0,751799000.0,51999000.0,51999000.0,328015000.0,328015000.0,28015000.0,300000000.0,371785000.0,46671000.0,46671000.0,325114000.0,134213000.0,37681000.0,153220000.0,11038470000.0,10953569000.0,197471000.0,754446000.0,754446000.0,754446000.0,9807571000.0,194081000.0,194081000.0,194081000.0,84901000.0,,29001000.0,,,54707000.0,54707000.0,1193000.0,1193000.0,2022-12-31
,329173125.0,329173125.0,5575791000.0,5765365000.0,3876284000.0,9453247000.0,-621555000.0,3920899000.0,188402000.0,3876284000.0,44615000.0,9079091000.0,4822761000.0,901862000.0,3920899000.0,6823000.0,6823000.0,-3627873000.0,7494042000.0,47907000.0,3292000.0,44615000.0,6144939000.0,5346594000.0,,5346594000.0,188402000.0,5158192000.0,798345000.0,57738000.0,57738000.0,418771000.0,418771000.0,13771000.0,405000000.0,321836000.0,26580000.0,26580000.0,295256000.0,148409000.0,35052000.0,111795000.0,10967700000.0,10790910000.0,207029000.0,751387000.0,751387000.0,751387000.0,9639264000.0,193230000.0,193230000.0,193230000.0,176790000.0,0.0,28038000.0,76455000.0,76455000.0,71125000.0,71125000.0,1172000.0,1172000.0,2023-03-31
,329478476.0,329478476.0,5425668000.0,5614768000.0,4075348000.0,9502560000.0,-471177000.0,4119963000.0,187556000.0,4075348000.0,44615000.0,9277209000.0,5055716000.0,935753000.0,4119963000.0,9116000.0,9116000.0,-3445679000.0,7508616000.0,47910000.0,3295000.0,44615000.0,6029989000.0,5344802000.0,,5344802000.0,187556000.0,5157246000.0,685187000.0,56690000.0,56690000.0,269966000.0,269966000.0,19966000.0,250000000.0,358531000.0,46729000.0,46729000.0,311802000.0,148403000.0,38945000.0,124454000.0,11085705000.0,10871695000.0,218782000.0,963253000.0,963253000.0,963253000.0,9497291000.0,192369000.0,192369000.0,192369000.0,214010000.0,0.0,28837000.0,0.0,0.0,183629000.0,183629000.0,1544000.0,1544000.0,2023-06-30
0.0,328904161.0,328904161.0,5751198000.0,5939523000.0,4106309000.0,9859131000.0,-587084000.0,4150924000.0,186701000.0,4106309000.0,44615000.0,9497046000.0,5058403000.0,907479000.0,4150924000.0,8360000.0,8360000.0,-3392855000.0,7487515000.0,47904000.0,3289000.0,44615000.0,6361659000.0,5532823000.0,,5532823000.0,186701000.0,5346122000.0,828836000.0,50571000.0,50571000.0,406700000.0,406700000.0,26700000.0,380000000.0,371565000.0,27071000.0,27071000.0,344494000.0,149615000.0,68900000.0,125979000.0,11420062000.0,11178310000.0,221572000.0,963927000.0,963927000.0,963927000.0,9801312000.0,191499000.0,191499000.0,191499000.0,241752000.0,,30831000.0,,,209297000.0,209297000.0,1624000.0,1624000.0,2023-09-30
,329014512.0,329014512.0,5795787000.0,5984545000.0,3946529000.0,9745238000.0,-585233000.0,3991144000.0,185836000.0,3946529000.0,44615000.0,9377185000.0,4952441000.0,961297000.0,3991144000.0,4914000.0,4914000.0,-3554892000.0,7493217000.0,47905000.0,3290000.0,44615000.0,6420801000.0,5571877000.0,,5571877000.0,185836000.0,5386041000.0,848924000.0,50528000.0,50528000.0,412668000.0,412668000.0,4593000.0,408075000.0,385728000.0,47710000.0,47710000.0,338018000.0,149600000.0,47107000.0,141311000.0,11373242000.0,11109551000.0,209969000.0,952934000.0,952934000.0,952934000.0,9756029000.0,190619000.0,190619000.0,190619000.0,263691000.0,,31944000.0,,,228825000.0,228825000.0,2922000.0,2922000.0,2023-12-31
