tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_business,write_off,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-21301000.0,0.179,812000000.0,-119000000.0,-119000000.0,398000000.0,187000000.0,2654000000.0,693000000.0,506000000.0,-12000000.0,21000000.0,9000000.0,495699000.0,397000000.0,3219000000.0,502000000.0,319000000.0,317000000.0,1.24,1.25,397000000.0,397000000.0,397000000.0,397000000.0,-1000000.0,398000000.0,87000000.0,485000000.0,-125000000.0,-6000000.0,-119000000.0,-6000000.0,,113000000.0,-12000000.0,21000000.0,9000000.0,622000000.0,565000000.0,173000000.0,392000000.0,1187000000.0,2654000000.0,3841000000.0,3841000000.0,2022-12-31
-24130000.0,0.19,879000000.0,-127000000.0,-127000000.0,425000000.0,207000000.0,2876000000.0,752000000.0,545000000.0,-8000000.0,20000000.0,12000000.0,527870000.0,433000000.0,3496000000.0,537000000.0,318000000.0,316000000.0,1.36,1.37,433000000.0,433000000.0,433000000.0,433000000.0,8000000.0,425000000.0,100000000.0,525000000.0,-131000000.0,-4000000.0,-127000000.0,-56000000.0,,71000000.0,-8000000.0,20000000.0,12000000.0,664000000.0,620000000.0,185000000.0,435000000.0,1284000000.0,2876000000.0,4160000000.0,4160000000.0,2023-03-31
-9548000.0,0.154,906000000.0,-62000000.0,-62000000.0,528000000.0,200000000.0,2699000000.0,844000000.0,644000000.0,-2000000.0,20000000.0,18000000.0,580452000.0,528000000.0,3306000000.0,630000000.0,317000000.0,315000000.0,1.67,1.68,528000000.0,528000000.0,528000000.0,528000000.0,0.0,528000000.0,96000000.0,624000000.0,-66000000.0,-4000000.0,-62000000.0,,10000000.0,52000000.0,-2000000.0,20000000.0,18000000.0,692000000.0,607000000.0,176000000.0,431000000.0,1299000000.0,2699000000.0,3998000000.0,3998000000.0,2023-06-30
-7793375.394322,0.12776,914000000.0,-61000000.0,-61000000.0,553000000.0,200000000.0,2750000000.0,853000000.0,653000000.0,2000000.0,19000000.0,21000000.0,606206624.605678,552000000.0,3336000000.0,635000000.0,316000000.0,313000000.0,1.75,1.76,552000000.0,552000000.0,552000000.0,552000000.0,-1000000.0,553000000.0,81000000.0,634000000.0,-67000000.0,-6000000.0,-61000000.0,,5000000.0,56000000.0,2000000.0,19000000.0,21000000.0,699000000.0,586000000.0,174000000.0,412000000.0,1285000000.0,2750000000.0,4035000000.0,4035000000.0,2023-09-30
-6090000.0,0.21,940000000.0,-29000000.0,-29000000.0,1804000000.0,194000000.0,2507000000.0,911000000.0,717000000.0,4000000.0,18000000.0,22000000.0,1826910000.0,1803000000.0,3104000000.0,698000000.0,313000000.0,311000000.0,5.76,5.8,1803000000.0,1803000000.0,1803000000.0,1803000000.0,-1000000.0,1804000000.0,-1105000000.0,699000000.0,-32000000.0,-3000000.0,-29000000.0,,11000000.0,18000000.0,4000000.0,18000000.0,22000000.0,727000000.0,597000000.0,173000000.0,424000000.0,1324000000.0,2507000000.0,3831000000.0,3831000000.0,2023-12-31
-9159000.0,0.213,941000000.0,-43000000.0,-43000000.0,541000000.0,192000000.0,2604000000.0,898000000.0,706000000.0,0.0,19000000.0,19000000.0,574841000.0,541000000.0,3232000000.0,692000000.0,310000000.0,308000000.0,1.75,1.76,541000000.0,541000000.0,541000000.0,541000000.0,0.0,541000000.0,146000000.0,687000000.0,-48000000.0,-5000000.0,-43000000.0,0.0,,43000000.0,0.0,19000000.0,19000000.0,735000000.0,628000000.0,184000000.0,444000000.0,1363000000.0,2604000000.0,3967000000.0,3967000000.0,2024-03-31
