tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
240614924.837938,0.213396,35224101000.0,1127550000.0,1127550000.0,15141545000.0,14252889000.0,143317631000.0,36351651000.0,22098762000.0,-1115035000.0,1749134000.0,14254609924.837938,15141545000.0,156273652000.0,20787911000.0,2109382500.0,2086268784.0,7.14,7.54,13330096000.0,15141545000.0,15141545000.0,-865549000.0,16007094000.0,16007094000.0,4342534000.0,20349628000.0,321672000.0,-948255000.0,142377000.0,1322652000.0,-1115035000.0,1749134000.0,21142991000.0,12956021000.0,6950907000.0,7374522000.0,34099012000.0,143317631000.0,177416643000.0,184233643000.0,2022-12-31
146314612.452351,0.225794,22738000000.0,648000000.0,648000000.0,5817000000.0,14440000000.0,111552000000.0,23386000000.0,8946000000.0,-1076000000.0,1076000000.0,5315314612.452351,5817000000.0,123196000000.0,7695000000.0,2168482500.0,2138602941.0,2.6,2.72,5817000000.0,5817000000.0,5817000000.0,-276000000.0,6093000000.0,6093000000.0,1777000000.0,7870000000.0,1251000000.0,615000000.0,-12000000.0,648000000.0,-1076000000.0,1076000000.0,7695000000.0,11644000000.0,5572000000.0,6072000000.0,19339000000.0,111552000000.0,130891000000.0,129167000000.0,2023-03-31
137430916.823262,0.189299,24973000000.0,726000000.0,726000000.0,7740000000.0,14488000000.0,114534000000.0,25699000000.0,11211000000.0,-1100000000.0,1100000000.0,7151430916.823262,7740000000.0,126863000000.0,9412000000.0,2171474000.0,2150000000.0,3.52,3.6,7740000000.0,7740000000.0,7740000000.0,-457000000.0,8197000000.0,8197000000.0,1914000000.0,10111000000.0,1799000000.0,747000000.0,326000000.0,726000000.0,-1100000000.0,1100000000.0,9412000000.0,12329000000.0,6218000000.0,6111000000.0,21741000000.0,114534000000.0,136275000000.0,134522000000.0,2023-06-30
172192295.135488,0.23588,27337000000.0,730000000.0,730000000.0,8776000000.0,14568000000.0,129251000000.0,28067000000.0,13499000000.0,-1247000000.0,1247000000.0,8218192295.135488,8776000000.0,142762000000.0,11405000000.0,2173876000.0,2150980392.0,4.0,4.08,8776000000.0,8776000000.0,8776000000.0,-586000000.0,9362000000.0,9362000000.0,2890000000.0,12252000000.0,2094000000.0,708000000.0,656000000.0,730000000.0,-1247000000.0,1247000000.0,11405000000.0,13511000000.0,6759000000.0,6752000000.0,24916000000.0,129251000000.0,154167000000.0,152476000000.0,2023-09-30
,,,,,,,,,,,,,,,,2175635588.0,2152294104.0,4.26,4.36,,,,,,,,,,,,,,,,,,,,,,,2023-12-31
212928244.274809,0.242239,22674000000.0,879000000.0,879000000.0,5682000000.0,14586000000.0,111935000000.0,23553000000.0,8967000000.0,-1107000000.0,1107000000.0,5015928244.274809,5682000000.0,125278000000.0,7525000000.0,2184170000.0,2152272727.0,2.56,2.64,5682000000.0,5682000000.0,5682000000.0,-274000000.0,5956000000.0,5956000000.0,1904000000.0,7860000000.0,1442000000.0,506000000.0,57000000.0,879000000.0,-1107000000.0,1107000000.0,7525000000.0,13343000000.0,6609000000.0,6734000000.0,20868000000.0,111935000000.0,132803000000.0,130886000000.0,2024-03-31
