ordinary_shares_number,share_issued,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,preferred_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,non_current_deferred_liabilities,non_current_deferred_revenue,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,payables_and_accrued_expenses,current_accrued_expenses,payables,dueto_related_parties_current,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,non_current_note_receivables,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,other_properties,machinery_furniture_equipment,current_assets,other_current_assets,current_deferred_assets,restricted_cash,inventory,inventories_adjustments_allowances,finished_goods,raw_materials,receivables,notes_receivable,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date,treasury_shares_number
229146000.0,229146000.0,1219000.0,14158000.0,40091000.0,756676000.0,838646000.0,1219000.0,40091000.0,824488000.0,864579000.0,864579000.0,864579000.0,-1881000.0,-1881000.0,-238772000.0,280668000.0,824564000.0,76000.0,824488000.0,357490000.0,196195000.0,195707000.0,179788000.0,15919000.0,488000.0,488000.0,161295000.0,3388000.0,18347000.0,18347000.0,731000.0,731000.0,138829000.0,67576000.0,71253000.0,34807000.0,198000.0,,36248000.0,1222069000.0,304098000.0,263000.0,262963000.0,501000.0,3574000.0,25933000.0,12254000.0,13679000.0,11365000.0,-2081000.0,13446000.0,11065000.0,2381000.0,917971000.0,11341000.0,14124000.0,38768000.0,173289000.0,-8431000.0,119229000.0,62491000.0,66290000.0,2979000.0,63311000.0,-2100000.0,65411000.0,614159000.0,614159000.0,2022-12-31,
230346000.0,230346000.0,1166000.0,54727000.0,81035000.0,801380000.0,879215000.0,1166000.0,81035000.0,824488000.0,905523000.0,905523000.0,905523000.0,-1287000.0,-1287000.0,-197627000.0,279872000.0,824565000.0,77000.0,824488000.0,386748000.0,195017000.0,194525000.0,175275000.0,19250000.0,492000.0,492000.0,191731000.0,4774000.0,24937000.0,24937000.0,674000.0,674000.0,161346000.0,107448000.0,53898000.0,37042000.0,320000.0,,16536000.0,1292271000.0,299160000.0,263000.0,259413000.0,482000.0,0.0,26308000.0,12359000.0,13949000.0,13176000.0,-2476000.0,15652000.0,12970000.0,2682000.0,993111000.0,15507000.0,14124000.0,38105000.0,154280000.0,-6803000.0,110525000.0,50558000.0,175619000.0,3587000.0,172032000.0,-1724000.0,173756000.0,595476000.0,595476000.0,2023-03-31,
230652000.0,230652000.0,968000.0,104914000.0,131062000.0,803030000.0,929402000.0,968000.0,131062000.0,824488000.0,955550000.0,955550000.0,955550000.0,-1877000.0,-1877000.0,-146118000.0,278980000.0,824565000.0,77000.0,824488000.0,443699000.0,174474000.0,174078000.0,171745000.0,2333000.0,396000.0,396000.0,269225000.0,6518000.0,29385000.0,29385000.0,572000.0,572000.0,232750000.0,147322000.0,85428000.0,0.0,59389000.0,58798000.0,26039000.0,1399249000.0,326994000.0,254000.0,283773000.0,28373000.0,0.0,26148000.0,12211000.0,13937000.0,16819000.0,-2952000.0,19771000.0,15889000.0,3882000.0,1072255000.0,23398000.0,14124000.0,0.0,152545000.0,-4543000.0,95766000.0,61322000.0,201134000.0,3323000.0,197811000.0,-2029000.0,199840000.0,681054000.0,681054000.0,2023-06-30,
231675021.0,231675021.0,1338000.0,187987000.0,213347000.0,879632000.0,1012475000.0,1338000.0,213347000.0,824488000.0,1037835000.0,1037835000.0,1037835000.0,-2541000.0,-2541000.0,-62169000.0,277980000.0,824565000.0,77000.0,824488000.0,507783000.0,172266000.0,171619000.0,169370000.0,2249000.0,647000.0,647000.0,335517000.0,8504000.0,58358000.0,58358000.0,691000.0,691000.0,267964000.0,180641000.0,87323000.0,,59177000.0,58855000.0,28146000.0,1545618000.0,330469000.0,265000.0,282483000.0,30614000.0,0.0,25360000.0,11772000.0,13588000.0,22361000.0,-3658000.0,26019000.0,20003000.0,6016000.0,1215149000.0,23747000.0,14124000.0,0.0,198704000.0,-3934000.0,143418000.0,59220000.0,218552000.0,3309000.0,215243000.0,,,760022000.0,760022000.0,2023-09-30,
231787482.0,231787482.0,2187000.0,237728000.0,264040000.0,928291000.0,1062216000.0,2187000.0,264040000.0,824488000.0,1088528000.0,1088528000.0,1088528000.0,-701000.0,-701000.0,-12053000.0,276717000.0,824565000.0,77000.0,824488000.0,447868000.0,171255000.0,170107000.0,167227000.0,2880000.0,1148000.0,1148000.0,276613000.0,10067000.0,21364000.0,21364000.0,1039000.0,1039000.0,244143000.0,150056000.0,94087000.0,0.0,51247000.0,50424000.0,42840000.0,1536396000.0,331492000.0,291000.0,277856000.0,29518000.0,0.0,26312000.0,12139000.0,14173000.0,27033000.0,-4650000.0,31683000.0,24073000.0,7610000.0,1204904000.0,19503000.0,14124000.0,0.0,229275000.0,-4181000.0,184434000.0,49022000.0,186021000.0,2318000.0,183703000.0,-3137000.0,186840000.0,755981000.0,755981000.0,2023-12-31,0.0
