tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,otherunder_preferred_stock_dividend,preferred_stock_dividends,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_income_non_operating,operating_income,operating_expense,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
133938.353741,0.248956,-27584000.0,538000.0,538000.0,-21223000.0,563000.0,98957000.0,-27046000.0,-27609000.0,3950000.0,3950000.0,-21627061.646259,-21223000.0,210710000.0,-32746000.0,,,,,-28153000.0,-28153000.0,,6930000.0,-21223000.0,-21223000.0,-21223000.0,-7035000.0,-28258000.0,538000.0,538000.0,3950000.0,3950000.0,-32746000.0,111753000.0,111753000.0,89985000.0,21768000.0,21768000.0,79007000.0,98957000.0,177964000.0,177964000.0,2022-12-31
-20296.0,0.172,45580000.0,-118000.0,-118000.0,41227000.0,549000.0,146121000.0,45462000.0,44913000.0,4969000.0,4969000.0,41324704.0,41227000.0,215026000.0,44913000.0,236277000.0,230019000.0,0.133333,0.136667,34446000.0,34446000.0,,6781000.0,41227000.0,41227000.0,41227000.0,8537000.0,49764000.0,-118000.0,-118000.0,4969000.0,4969000.0,44913000.0,68905000.0,68905000.0,68905000.0,,,113818000.0,146121000.0,259939000.0,259939000.0,2023-03-31
-240198.0,0.258,66442000.0,-931000.0,-931000.0,51509000.0,698000.0,166889000.0,65511000.0,64813000.0,5573000.0,5573000.0,52199802.0,51509000.0,261070000.0,64813000.0,236832000.0,230535000.0,0.173333,0.176667,40857000.0,40857000.0,,10652000.0,51509000.0,51509000.0,51509000.0,17946000.0,69455000.0,-931000.0,-931000.0,5573000.0,5573000.0,64813000.0,94181000.0,94181000.0,,,,158994000.0,166889000.0,325883000.0,325883000.0,2023-06-30
-35223.0,0.199,98748000.0,-177000.0,-177000.0,83949000.0,874000.0,190675000.0,98571000.0,97697000.0,7225000.0,7225000.0,84090777.0,83949000.0,287060000.0,97697000.0,237273000.0,231006000.0,0.296667,0.306667,70534000.0,70534000.0,6540000.0,6875000.0,83949000.0,83949000.0,83949000.0,20796000.0,104745000.0,-177000.0,-177000.0,7225000.0,7225000.0,97697000.0,96385000.0,96385000.0,,,,194082000.0,190675000.0,384757000.0,384757000.0,2023-09-30
-5213.247769,0.260662,60068000.0,-20000.0,-20000.0,50116000.0,1105000.0,181190000.0,60048000.0,58943000.0,8862000.0,8862000.0,50130786.752231,50116000.0,288492000.0,58943000.0,,,,,39495000.0,39081000.0,4085000.0,6950000.0,50116000.0,50116000.0,50116000.0,17669000.0,67785000.0,-20000.0,-20000.0,8862000.0,8862000.0,58943000.0,107302000.0,107302000.0,,,,166245000.0,181190000.0,347435000.0,347435000.0,2023-12-31
