tax_effect_of_unusual_items,tax_rate_for_calcs,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,special_income_charges,other_special_charges,net_non_operating_interest_income_expense,interest_expense_non_operating,other_operating_expenses,total_revenue,operating_revenue,date
0.0,0.184874,,,364000000.0,570000000.0,-94000000.0,94000000.0,364000000.0,364000000.0,3318000000.0,,,,,364000000.0,364000000.0,364000000.0,-24000000.0,388000000.0,388000000.0,88000000.0,476000000.0,994000000.0,,,-94000000.0,94000000.0,1290000000.0,3794000000.0,3794000000.0,2022-12-31
0.0,0.22158,,,375000000.0,614000000.0,-95000000.0,95000000.0,375000000.0,375000000.0,3237000000.0,233620000.0,233300000.0,1.61,1.61,375000000.0,375000000.0,375000000.0,-29000000.0,404000000.0,404000000.0,115000000.0,519000000.0,1001000000.0,,,-95000000.0,95000000.0,1165000000.0,3756000000.0,3756000000.0,2023-03-31
10866141.732283,0.23622,46000000.0,46000000.0,360000000.0,599000000.0,-91000000.0,91000000.0,324866141.732283,360000000.0,3325000000.0,227970000.0,227690000.0,1.58,1.58,360000000.0,360000000.0,360000000.0,-28000000.0,388000000.0,388000000.0,120000000.0,508000000.0,981000000.0,46000000.0,-46000000.0,-91000000.0,91000000.0,1192000000.0,3833000000.0,3833000000.0,2023-06-30
0.0,0.224719,,,253000000.0,450000000.0,-94000000.0,94000000.0,253000000.0,253000000.0,3541000000.0,225990000.0,225640000.0,1.12,1.12,253000000.0,253000000.0,253000000.0,-23000000.0,276000000.0,276000000.0,80000000.0,356000000.0,966000000.0,,,-94000000.0,94000000.0,1246000000.0,3897000000.0,3897000000.0,2023-09-30
0.0,0.22186,,,446000000.0,709000000.0,-96000000.0,96000000.0,446000000.0,446000000.0,3579000000.0,,,,,446000000.0,446000000.0,446000000.0,-31000000.0,477000000.0,477000000.0,136000000.0,613000000.0,1130000000.0,,,-96000000.0,96000000.0,1334000000.0,4192000000.0,4192000000.0,2023-12-31
