tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,write_off,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,selling_general_and_administration,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-25041870.0,0.21,618970000.0,-119247000.0,-119247000.0,396296000.0,99877000.0,1507532000.0,499723000.0,399846000.0,-35587000.0,36724000.0,1137000.0,490501130.0,396296000.0,2123977000.0,526646000.0,206291000.0,205287000.0,1.92,1.98,396296000.0,396296000.0,396296000.0,0.0,396296000.0,396296000.0,-33174000.0,363122000.0,-129652000.0,-10405000.0,-119247000.0,117532000.0,1715000.0,-35587000.0,36724000.0,1137000.0,528361000.0,616445000.0,616445000.0,,,,1144806000.0,1507532000.0,2652338000.0,2652338000.0,2022-12-31
-184097.0,0.227,897705000.0,-811000.0,-811000.0,587185000.0,98199000.0,1605292000.0,896894000.0,798695000.0,-37685000.0,39439000.0,1754000.0,587811903.0,587185000.0,2186879000.0,799924000.0,205836000.0,204860000.0,2.85,2.94,587185000.0,587185000.0,587185000.0,,587185000.0,587185000.0,172071000.0,759256000.0,-3794000.0,-2983000.0,-811000.0,0.0,811000.0,-37685000.0,39439000.0,1754000.0,800735000.0,581587000.0,581587000.0,,,,1382322000.0,1605292000.0,2987614000.0,2987614000.0,2023-03-31
-5697260.0,0.074,658270000.0,-76990000.0,-76990000.0,406983000.0,101588000.0,1358181000.0,581280000.0,479692000.0,-36661000.0,40172000.0,3511000.0,478275740.0,406983000.0,1929985000.0,560665000.0,205533000.0,204691000.0,1.98,2.03,406983000.0,406983000.0,406983000.0,,406983000.0,406983000.0,32537000.0,439520000.0,-84114000.0,-7124000.0,-76990000.0,77360000.0,-370000.0,-36661000.0,40172000.0,3511000.0,560295000.0,571804000.0,571804000.0,,,,1132099000.0,1358181000.0,2490280000.0,2490280000.0,2023-06-30
-7839948.0,0.206,836624000.0,-38058000.0,-38058000.0,518577000.0,103309000.0,1669734000.0,798566000.0,695257000.0,-39755000.0,41844000.0,2089000.0,548795052.0,518577000.0,2298990000.0,735949000.0,205488000.0,204730000.0,2.52,2.6,518577000.0,518577000.0,518577000.0,,518577000.0,518577000.0,134836000.0,653413000.0,-37829000.0,229000.0,-38058000.0,38058000.0,0.0,-39755000.0,41844000.0,2089000.0,730997000.0,629256000.0,629256000.0,629256000.0,624304000.0,4952000.0,1360253000.0,1669734000.0,3029987000.0,3029987000.0,2023-09-30
-19963860.0,0.21,571516000.0,-95066000.0,-95066000.0,349042000.0,116719000.0,1533969000.0,476450000.0,359731000.0,-37684000.0,40056000.0,2372000.0,424144140.0,349042000.0,2204968000.0,464329000.0,,,,,349042000.0,349042000.0,349042000.0,,349042000.0,349042000.0,-29367000.0,319675000.0,-94784000.0,282000.0,-95066000.0,95066000.0,0.0,-37684000.0,40056000.0,2372000.0,452143000.0,670999000.0,670999000.0,670999000.0,658813000.0,12186000.0,1123142000.0,1533969000.0,2657111000.0,2657111000.0,2023-12-31
